carat,cut,colour,clarity,Length,Width,height,depth ratio,table,Grading
1.2,Very Good,H,SI2,6.74,6.77,4.25,62.9,56,Mid  
0.6,Ideal,G,VVS2,5.37,5.41,3.31,61.4,59,Mid  
0.23,Ideal,G,IF,3.93,3.96,2.48,62.8,55, Low  
1.51,Very Good,D,VS2,7.29,7.34,4.56,62.3,59,High  
1.01,Very Good,D,VVS2,6.51,6.57,3.94,60.2,58,High  
0.34,Very Good,G,VVS2,4.45,4.48,2.78,62.3,59, Low  
0.31,Ideal,F,VVS1,4.37,4.4,2.68,61.1,56, Low  
0.3,Ideal,F,VS1,4.3,4.33,2.68,62.2,54.4, Low  
2.17,Premium,J,SI2,8.31,8.26,5.16,62.3,58,High  
0.32,Premium,F,SI1,4.4,4.37,2.75,62.7,57, Low  
0.49,Premium,E,VS2,5.2,5.14,3.04,58.8,59,Mid  
0.4,Very Good,D,VVS2,4.7,4.72,2.95,62.6,55,Mid  
0.35,Good,E,SI2,4.49,4.45,2.86,64,55, Low  
1.04,Premium,H,SI1,6.54,6.6,4.01,61,58,Mid  
1.18,Very Good,G,VS2,6.74,6.77,4.23,62.7,54.7,High  
1.55,Premium,H,VS1,7.64,7.59,4.45,58.4,61,High  
0.57,Ideal,E,VS2,5.36,5.34,3.3,61.7,56,Mid  
1.2,Ideal,I,VVS2,6.91,6.82,4.22,61.5,57,Mid  
0.31,Good,G,VVS1,4.32,4.36,2.75,63.4,57, Low  
1.51,Ideal,H,SI1,7.37,7.33,4.58,62.3,54,High  
1.14,Ideal,G,VS2,6.74,6.77,4.15,61.4,56,High  
0.52,Good,I,SI1,5.05,5.1,3.23,63.6,60, Low  
0.72,Good,D,VS1,5.69,5.75,3.62,63.3,55,Mid  
1.23,Premium,F,VS1,6.9,6.94,4.24,61.3,60,High  
1.5,Premium,H,SI1,7.33,7.27,4.45,61,60,High  
0.3,Ideal,G,IF,4.31,4.34,2.64,61,57, Low  
0.53,Ideal,G,IF,5.2,5.24,3.21,61.4,56,Mid  
0.73,Ideal,E,SI2,5.73,5.76,3.61,62.8,55,Mid  
0.96,Very Good,G,SI1,6.27,6.23,3.95,63.2,57,Mid  
0.53,Premium,D,VS2,5.2,5.24,3.21,61.5,58,Mid  
2.11,Premium,G,SI2,8.19,8.23,5.11,62.2,58,High  
0.71,Premium,D,VS2,5.88,5.85,3.44,58.7,61,Mid  
0.5,Very Good,G,VVS2,5.04,5.11,3.19,62.9,57,Mid  
0.3,Ideal,F,VS2,4.27,4.31,2.69,62.7,57, Low  
1.75,Ideal,G,SI2,7.73,7.78,4.78,61.6,54.8,High  
0.5,Very Good,D,SI1,5.08,5.11,3.11,61,61,Mid  
1.5,Ideal,F,SI1,7.25,7.35,4.58,62.7,56,High  
0.72,Premium,G,SI1,5.81,5.77,3.51,60.6,62,Mid  
1,Very Good,G,VVS1,6.29,6.4,3.95,62.3,56,High  
0.31,Ideal,H,VS2,4.38,4.43,2.74,62.2,53, Low  
0.32,Ideal,G,VVS2,4.44,4.41,2.73,61.7,57, Low  
1.53,Premium,F,VS2,7.62,7.56,4.44,58.5,60,High  
1.11,Very Good,J,VS1,6.8,6.77,4.07,59.9,56,Mid  
0.49,Premium,G,VS2,5.16,5.14,3.08,59.8,59,Mid  
