word_freq_make,word_freq_address,word_freq_all,word_freq_3d,word_freq_our,word_freq_over,word_freq_remove,word_freq_internet,word_freq_order,word_freq_mail,word_freq_receive,word_freq_will,word_freq_people,word_freq_report,word_freq_addresses,word_freq_free,word_freq_business,word_freq_email,word_freq_you,word_freq_credit,word_freq_your,word_freq_font,word_freq_000,word_freq_money,word_freq_hp,word_freq_hpl,word_freq_george,word_freq_650,word_freq_lab,word_freq_labs,word_freq_telnet,word_freq_857,word_freq_data,word_freq_415,word_freq_85,word_freq_technology,word_freq_1999,word_freq_parts,word_freq_pm,word_freq_direct,word_freq_cs,word_freq_meeting,word_freq_original,word_freq_project,word_freq_re,word_freq_edu,word_freq_table,word_freq_conference,char_freq_;,char_freq_(,char_freq_[,char_freq_!,char_freq_$,char_freq_#,capital_run_length_average,capital_run_length_longest,capital_run_length_total,spam
0,0.897,1.157,0,0.127,0,0,0.127,0.257,0.127,0.127,0.387,0.127,0,1.157,0,0.127,2.047,2.817,0.127,1.277,0,0,0.127,0,0,0,0,0,0,0,0,0,0,0,0.127,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192,0,0.377,0.068,0,2.885,87,478,1
0.893,0,0,0,0,0,0.893,0,0,0,0,0,0,0,0,0,0.893,0.893,1.803,0,2.713,0,0,0.893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.557,0,0,2.811,16,59,1
0,0.549,0.549,0,1.099,0.549,2.189,0,0,0.549,0,0.549,0,0,0,0,0,0.549,3.279,0,1.099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.549,0,0,0,0,0.166,0,0.48,0,0.087,15.089,151,381,1
0,0,0.367,0,1.107,0.737,0,2.957,0,2.957,0,0,0.737,0,0,0,2.217,0,5.177,0,2.217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146,0,1.093,0,0,5.157,105,287,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.966,0,1.486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.746,0,0.274,0,0.14,0,0,2.756,8,25,0
0.484,0,0.484,0,0.484,0,0,0,0,0,0,0.984,0,0,0,0,0,0,0.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.484,0,0,0,0,0,0,0,0.984,0.484,0,0,0,0,0,0.085,0,0,1.208,5,48,0
0,0,1.393,0,0,0,0,0,0,0,0,0.343,0,0,0,1.043,0,0,4.523,0.343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.043,0.343,0,0,0,0.125,0,0,0,0,1.966,48,109,0
0,0,0,0,0.37,0.37,0.37,0.37,0,0,0.37,0,0,0,0,0.37,0,0,3.49,0,1.93,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112,0,0,2.07,7,99,1
0,0,0,0,0,0,0,0,0,0,0,9.672,0,0,0,0,0,0,3.222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.566,0,0,0,0,1.694,5,23,0
0.357,0.107,0.557,0,2.157,0.157,0,0,0.107,0.757,0.357,0.857,0.257,0,0,0.157,0.307,0,5.007,0,1.757,0,0.057,0.807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207,0,0,0,0.015,0.042,0,0.156,0.138,0.015,3.636,130,620,1
0,0,0,0,5.555,0,0,0,0,0,0,5.555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.115,0,0,0,0,0,0,0,0,0,0,0,0,11.115,0,0,0,0,0,0,0,0,0,0,0,0,1.227,3,13,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.779,0,0,0,0,0,0,5.559,2.779,0,2.779,0,2.779,2.779,0,0,0,2.779,2.779,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227,0,0.227,0,0,1.696,14,31,0
0,0,0.38,0,0.38,0.38,0,0,0,0,0,0,0.38,0,0,0.38,0,0.38,1.16,0,0.77,0,0.38,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0,0,0,0.055,0.055,0.251,0.055,0,2.88,50,154,0
0,0.366,0.366,0,0,0.366,0,0.736,0,0.366,0.366,1.466,0,0,0,0.366,0,2.566,2.936,0,0.366,0,0,0.736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366,0,0,0,0,0,0,0,0,0,0.129,0,2.86,71,160,0
0.614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.614,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,1.455,4,35,0
0,0,0,0,0,0,0,0,0,0,0,0.866,0,0,0,0,0,0,1.736,0,0.866,0,0,0,6.086,3.476,0.866,0.866,0.866,0.866,0.866,0.866,0,0.866,0.866,0.866,0.866,0,0,0.866,0,0,0.866,0,0.866,0,0,0,0,0.273,0.139,0.139,0,0,2.613,16,76,0
0,0,0,0,0,0,7.262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283,0,0,2.436,8,40,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.684,2.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.994,6,21,0
0,0,0,0,0,0,0,0,0,0,0,0.733,0,0,0,0,0,0,0,0,0,0,0,0,8.083,5.883,0.733,0.733,0.733,0.733,0.733,0.733,0,0.733,0.733,0.733,0.733,0,0.733,0.733,0,0,0.733,0,0.733,0,0,0,0.391,0.262,0.132,0,0,0,2.669,14,97,0
